,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoline_type,price,emi_per_month,zero_downpayment,city,state
4317,Skoda Superb,Skoda,1.8 TSI LK AT ,2017,Automatic,22446,2,Petrol,46999,861,Zero downpayment,Pune,Maharashtra
4318,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2018,Automatic,29959,1,Petrol,67599,299,Zero downpayment,Pune,Maharashtra
4319,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,14702,1,Petrol,26399,934,Zero downpayment,Pune,Maharashtra
4320,Volkswagen Polo,Volkswagen,GT TSI 1.2 PETROL AT ,2016,Automatic,48730,2,Petrol,26999,947,Zero downpayment,Pune,Maharashtra
4321,Maruti Alto K10,Maruti,VXI ,2012,Manual,52465,1,Petrol,29999,116,Zero downpayment,Pune,Maharashtra
4322,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2018,Manual,15110,1,Petrol,28899,765,Zero downpayment,Pune,Maharashtra
4323,Honda Brio,Honda,1.2 S MT I VTEC ,2014,Manual,56279,1,Petrol,50099,788,Zero downpayment,Pune,Maharashtra
4324,Maruti Wagon R 1.0,Maruti,VXI AMT ,2018,Automatic,67022,1,Petrol,15199,236,Zero downpayment,Pune,Maharashtra
4325,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2015,Automatic,39299,2,Petrol,35599,139,Zero downpayment,Pune,Maharashtra
4326,Maruti Swift,Maruti,ZXI PLUS AMT ,2018,Automatic,49624,1,Petrol,97299,511,Zero downpayment,Pune,Maharashtra
4327,Hyundai Elite i20,Hyundai,1.4 SPORTS PLUS CRDI ,2019,Manual,40106,1,Diesel,44999,797,Zero downpayment,Pune,Maharashtra
4328,Hyundai Creta,Hyundai,1.6 VTVT SX AUTO ,2018,Automatic,69711,1,Petrol,73699,557,Zero downpayment,Pune,Maharashtra
4329,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,29801,1,Petrol,8799,542,Zero downpayment,Pune,Maharashtra
4330,Maruti Dzire,Maruti,VXI ,2019,Manual,29594,1,Petrol,2999,638,Zero downpayment,Pune,Maharashtra
4331,Skoda Octavia,Skoda,LK 1.8 TSI AT ,2018,Automatic,7762,1,Petrol,73199,668,Zero downpayment,Pune,Maharashtra
4332,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,67888,1,Petrol,95999,809,Zero downpayment,Pune,Maharashtra
4333,Mahindra XUV500,Mahindra,W11 (O) AT ,2018,Automatic,44721,1,Diesel,32799,96,Zero downpayment,Pune,Maharashtra
4334,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,10246,1,Petrol,86599,273,Zero downpayment,Pune,Maharashtra
4335,Ford Ecosport,Ford,1.0 ECOBOOST TITANIUM SPORTS(SUNROOF) ,2018,Manual,17005,2,Petrol,32799,750,Zero downpayment,Pune,Maharashtra
4336,Toyota Corolla Altis,Toyota,VL AT ,2017,Automatic,34849,2,Petrol,52999,872,Zero downpayment,Pune,Maharashtra
4337,Maruti Swift Dzire,Maruti,VDI BS IV ,2016,Manual,37551,1,Diesel,8199,529,Zero downpayment,Pune,Maharashtra
4338,Maruti Vitara Brezza,Maruti,VDI ,2018,Manual,69376,1,Diesel,97799,747,Zero downpayment,Pune,Maharashtra
4339,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2019,Manual,18284,1,Petrol,93099,866,Zero downpayment,Pune,Maharashtra
4340,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2018,Manual,50272,1,Petrol,14499,445,Zero downpayment,Pune,Maharashtra
4341,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,30854,1,Petrol,66299,821,Zero downpayment,Pune,Maharashtra
4342,Maruti Celerio,Maruti,VXI AMT ,2016,Automatic,34999,2,Petrol,87099,611,Zero downpayment,Pune,Maharashtra
4343,Volkswagen Polo,Volkswagen,GT TSI 1.2 PETROL AT ,2015,Automatic,50328,4,Petrol,40799,30,Zero downpayment,Pune,Maharashtra
4344,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2017,Manual,20393,1,Petrol,94099,991,Zero downpayment,Pune,Maharashtra
