,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoline_type,price,emi_per_month,zero_downpayment,city,state
0,Ford Ecosport,Ford,1.5 TITANIUMTDCI OPT ,2013,Manual,179045,1,Diesel,507599,11291,Zero downpayment,Hyderabad,Telangana
1,Maruti Swift,Maruti,ZDI ,2012,Manual,78819,2,Diesel,476699,10604,Zero downpayment,Hyderabad,Telangana
2,Honda Mobilio,Honda,1.5 V OPT I DTEC ,2014,Manual,97289,2,Diesel,494799,11007,Zero downpayment,Hyderabad,Telangana
3,Maruti Wagon R 1.0,Maruti,VXI ,2013,Manual,45693,2,Petrol,331999,7385,Zero downpayment,Hyderabad,Telangana
4,Hyundai i20 Active,Hyundai,1.2 S ,2016,Manual,40586,1,Petrol,620299,13798,Zero downpayment,Hyderabad,Telangana
5,Maruti Alto K10,Maruti,VXI ,2015,Manual,234695,1,Petrol,273299,6079,Zero downpayment,Hyderabad,Telangana
6,Skoda Octavia,Skoda,Style 1.4 TSI MT ,2017,Manual,47264,1,Petrol,1292899,28760,Zero downpayment,Hyderabad,Telangana
7,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,153631,1,Diesel,678999,15104,Zero downpayment,Hyderabad,Telangana
8,Honda City,Honda,V AT ,2010,Automatic,152381,1,Petrol,449699,10003,Zero downpayment,Hyderabad,Telangana
9,Hyundai Verna,Hyundai,1.6 CRDI SX + AT ,2018,Automatic,33367,1,Diesel,1069899,23799,Zero downpayment,Hyderabad,Telangana
10,Hyundai VENUE,Hyundai,1.5 SX CRDI MT ,2020,Manual,40139,1,Diesel,1042799,23196,Zero downpayment,Hyderabad,Telangana
11,Maruti Ciaz,Maruti,LPHA 1.5 AT VTVT SHVS ,2020,Manual,35019,1,Petrol,1083299,24097,Zero downpayment,Hyderabad,Telangana
12,Maruti Swift,Maruti,VDI ,2011,Manual,111043,1,Diesel,346399,7705,Zero downpayment,Hyderabad,Telangana
13,Mahindra XUV500,Mahindra,W11 ,2021,Automatic,14755,1,Diesel,2300999,51184,Zero downpayment,Hyderabad,Telangana
14,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,49094,1,Petrol,647799,14410,Zero downpayment,Hyderabad,Telangana
15,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2020,Automatic,5634,1,Petrol,1260699,28044,Zero downpayment,Hyderabad,Telangana
16,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,Automatic,36933,2,Petrol,411199,9147,Zero downpayment,Hyderabad,Telangana
17,Maruti Alto K10,Maruti,LXI ,2011,Manual,86129,2,Petrol,211099,4696,Zero downpayment,Hyderabad,Telangana
18,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,51619,1,Diesel,811499,18051,Zero downpayment,Hyderabad,Telangana
19,Maruti Vitara Brezza,Maruti,ZDI ,2018,Manual,47763,1,Diesel,860499,19141,Zero downpayment,Hyderabad,Telangana
20,Maruti Wagon R 1.0,Maruti,VXI ,2012,Manual,78088,1,Petrol,367299,8170,Zero downpayment,Hyderabad,Telangana
21,Maruti Wagon R 1.0,Maruti,VXI ,2012,Manual,73245,1,Petrol,357299,7948,Zero downpayment,Hyderabad,Telangana
22,Maruti Vitara Brezza,Maruti,VDI AMT ,2018,Automatic,81477,2,Diesel,800499,17807,Zero downpayment,Hyderabad,Telangana
23,Hyundai Grand i10,Hyundai,SPORTZ (O) 1.2 AT VTVT ,2018,Automatic,41620,1,Petrol,657799,14632,Zero downpayment,Hyderabad,Telangana
24,Maruti Wagon R 1.0,Maruti,VXI ,2012,Manual,86777,2,Petrol,352799,7848,Zero downpayment,Hyderabad,Telangana
25,Maruti Alto,Maruti,VXI ,2019,Manual,41432,1,Petrol,407099,9056,Zero downpayment,Hyderabad,Telangana
26,Maruti Alto 800,Maruti,LXI ,2017,Manual,61247,1,Petrol,286399,6371,Zero downpayment,Hyderabad,Telangana
27,Maruti Wagon R 1.0,Maruti,VXI ,2016,Manual,55405,1,Petrol,419999,9343,Zero downpayment,Hyderabad,Telangana
28,Maruti Wagon R 1.0,Maruti,VXI ,2016,Manual,39789,1,Petrol,398099,8855,Zero downpayment,Hyderabad,Telangana
29,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,52689,1,Petrol,401199,8924,Zero downpayment,Hyderabad,Telangana
30,Honda Brio,Honda,1.2 S MT I VTEC ,2015,Manual,68623,1,Petrol,402699,8958,Zero downpayment,Hyderabad,Telangana
31,Maruti Wagon R 1.0,Maruti,VXI AMT ,2016,Automatic,46870,1,Petrol,430999,9587,Zero downpayment,Hyderabad,Telangana
32,Maruti Eeco,Maruti,7 STR ,2018,Manual,40023,2,Petrol,401399,8929,Zero downpayment,Hyderabad,Telangana
33,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,55530,2,Petrol,410399,9129,Zero downpayment,Hyderabad,Telangana
34,Maruti Wagon R 1.0,Maruti,VXI ,2013,Manual,58771,1,Petrol,363299,8081,Zero downpayment,Hyderabad,Telangana
35,Maruti Alto K10,Maruti,VXI ,2018,Manual,41877,2,Petrol,383899,8540,Zero downpayment,Hyderabad,Telangana
36,Honda Brio,Honda,1.2 VX AT I VTEC ,2013,Automatic,27101,2,Petrol,443099,9856,Zero downpayment,Hyderabad,Telangana
37,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,21336,1,Petrol,432199,9614,Zero downpayment,Hyderabad,Telangana
38,Maruti Swift,Maruti,VXI ,2012,Manual,64298,2,Petrol,427299,9505,Zero downpayment,Hyderabad,Telangana
39,Hyundai Elite i20,Hyundai,SPORTZ 1.4 ,2016,Manual,51885,1,Diesel,687499,15293,Zero downpayment,Hyderabad,Telangana
40,Maruti Swift,Maruti,VXI OPT ,2017,Manual,104760,1,Petrol,573899,12766,Zero downpayment,Hyderabad,Telangana
41,Hyundai GRAND I10 NIOS,Hyundai,1.2 Kappa Sports MT ,2020,Manual,11535,1,Petrol,688999,15326,Zero downpayment,Hyderabad,Telangana
42,Hyundai Elite i20,Hyundai,1.2 MAGNA PLUS VTVT ,2019,Manual,34387,1,Petrol,678999,15104,Zero downpayment,Hyderabad,Telangana
43,Renault Kwid,Renault,1.0 RXT Opt AT ,2018,Automatic,45396,1,Petrol,431099,9590,Zero downpayment,Hyderabad,Telangana
44,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,92708,1,Petrol,361699,8046,Zero downpayment,Hyderabad,Telangana
45,Hyundai Grand i10,Hyundai,STA 1.1 (O) CRDI ,2014,Manual,106258,1,Diesel,466599,10379,Zero downpayment,Hyderabad,Telangana
46,Volkswagen Ameo,Volkswagen,HIGHLINE 1.2 ,2016,Manual,43325,2,Petrol,497499,11067,Zero downpayment,Hyderabad,Telangana
47,Toyota Fortuner,Toyota,3.0 MT 4X4 ,2009,Manual,216114,2,Diesel,871699,19390,Zero downpayment,Hyderabad,Telangana
48,Maruti Swift Dzire,Maruti,VDI BS IV ,2015,Manual,97519,1,Diesel,538799,11985,Zero downpayment,Hyderabad,Telangana
49,Datsun Redi Go,Datsun,S ,2017,Manual,29131,1,Petrol,312399,6949,Zero downpayment,Hyderabad,Telangana
50,Hyundai Creta,Hyundai,1.6 CRDI SX PLUS AUTO ,2016,Automatic,109897,1,Diesel,962699,21415,Zero downpayment,Hyderabad,Telangana
51,Hyundai Creta,Hyundai,1.6 SX PLUS PETROL ,2017,Manual,51628,1,Petrol,991499,22055,Zero downpayment,Hyderabad,Telangana
52,Hyundai Creta,Hyundai,1.6 SX CRDI ,2016,Manual,44124,1,Diesel,1163699,25886,Zero downpayment,Hyderabad,Telangana
53,Hyundai Elite i20,Hyundai,SPORTZ (O) 1.4 ,2015,Manual,183608,1,Diesel,582099,12948,Zero downpayment,Hyderabad,Telangana
54,Honda WR-V,Honda,1.5 i-DTEC VX MT ,2018,Manual,83311,1,Diesel,816899,18171,Zero downpayment,Hyderabad,Telangana
55,Volkswagen Vento,Volkswagen,HIGHLINE PLUS TDI MT ,2017,Manual,38004,1,Diesel,843899,18772,Zero downpayment,Hyderabad,Telangana
56,Mercedes Benz C Class,Mercedes,C 220 CDI AVANTGARDE ,2013,Automatic,88866,1,Diesel,1441599,32068,Zero downpayment,Hyderabad,Telangana
57,Maruti New  Wagon-R,Maruti,VXI 1.2L ,2019,Manual,48692,2,Petrol,542399,12065,Zero downpayment,Hyderabad,Telangana
58,Honda City,Honda,VX MT PETROL ,2018,Manual,47032,1,Petrol,1046099,23270,Zero downpayment,Hyderabad,Telangana
59,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,69096,2,Petrol,589699,13118,Zero downpayment,Hyderabad,Telangana
60,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2016,Manual,118824,1,Diesel,658699,14652,Zero downpayment,Hyderabad,Telangana
61,Maruti IGNIS,Maruti,LPHA 1.2 K12 DUAL TONE ,2017,Manual,79312,1,Petrol,565499,12579,Zero downpayment,Hyderabad,Telangana
62,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,70894,1,Petrol,400799,8916,Zero downpayment,Hyderabad,Telangana
63,Hyundai Eon,Hyundai,GNA PLUS ,2015,Manual,68345,2,Petrol,314399,6994,Zero downpayment,Hyderabad,Telangana
64,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2017,Manual,56571,1,Petrol,712199,15842,Zero downpayment,Hyderabad,Telangana
65,Maruti Swift,Maruti,VDI OPT ,2017,Manual,68276,1,Diesel,617499,13736,Zero downpayment,Hyderabad,Telangana
66,Hyundai Creta,Hyundai,1.6 SX (O) VTVT ,2018,Manual,67406,1,Petrol,1206099,26829,Zero downpayment,Hyderabad,Telangana
67,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,52645,2,Petrol,659299,14666,Zero downpayment,Hyderabad,Telangana
68,Hyundai Verna,Hyundai,1.6 CRDI SX + AT ,2018,Automatic,83119,1,Diesel,1020399,22698,Zero downpayment,Hyderabad,Telangana
69,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2015,Manual,61290,2,Petrol,526299,11707,Zero downpayment,Hyderabad,Telangana
70,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,Automatic,11036,1,Petrol,460499,10244,Zero downpayment,Hyderabad,Telangana
71,Hyundai Eon,Hyundai,GNA PLUS ,2015,Manual,38789,1,Petrol,324199,7212,Zero downpayment,Hyderabad,Telangana
72,Honda Jazz,Honda,1.2 ZX MT ,2021,Manual,8459,1,Petrol,976699,21726,Zero downpayment,Hyderabad,Telangana
73,Maruti Swift,Maruti,VXI ,2014,Manual,49168,1,Petrol,481499,10711,Zero downpayment,Hyderabad,Telangana
74,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,24307,1,Petrol,722599,16074,Zero downpayment,Hyderabad,Telangana
75,Maruti Baleno,Maruti,LPHA 1.2 K12 AMT ,2018,Automatic,60393,2,Petrol,745099,16574,Zero downpayment,Hyderabad,Telangana
76,Maruti Swift,Maruti,VXI ,2014,Manual,30466,1,Petrol,464199,10326,Zero downpayment,Hyderabad,Telangana
77,Maruti Alto 800,Maruti,LXI ,2013,Manual,60810,2,Petrol,263899,5870,Zero downpayment,Hyderabad,Telangana
78,Hyundai Santro Xing,Hyundai,GLS ,2013,Manual,69600,1,Petrol,292599,6509,Zero downpayment,Hyderabad,Telangana
79,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2018,Manual,58996,1,Petrol,530299,11796,Zero downpayment,Hyderabad,Telangana
80,Maruti Wagon R 1.0,Maruti,VXI AMT ,2018,Automatic,87693,1,Petrol,494199,10993,Zero downpayment,Hyderabad,Telangana
81,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT ,2016,Manual,27665,1,Petrol,532899,11854,Zero downpayment,Hyderabad,Telangana
82,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,68792,2,Petrol,479199,10660,Zero downpayment,Hyderabad,Telangana
83,Hyundai i10,Hyundai,SPORTZ 1.2 KAPPA2 ,2010,Manual,101361,1,Petrol,282199,6277,Zero downpayment,Hyderabad,Telangana
84,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2017,Manual,19376,2,Petrol,518199,11527,Zero downpayment,Hyderabad,Telangana
85,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,77315,1,Petrol,385799,8582,Zero downpayment,Hyderabad,Telangana
86,Maruti Wagon R 1.0,Maruti,VXI AMT ,2016,Automatic,67469,1,Petrol,427299,9505,Zero downpayment,Hyderabad,Telangana
87,Maruti Alto K10,Maruti,VXI ,2012,Manual,55395,1,Petrol,266199,5921,Zero downpayment,Hyderabad,Telangana
88,Maruti Alto K10,Maruti,VXI ,2019,Manual,18838,1,Petrol,411399,9151,Zero downpayment,Hyderabad,Telangana
89,Maruti Alto K10,Maruti,VXI ,2017,Manual,23366,1,Petrol,382299,8504,Zero downpayment,Hyderabad,Telangana
90,Maruti Alto K10,Maruti,VXI ,2019,Manual,5270,1,Petrol,441499,9821,Zero downpayment,Hyderabad,Telangana
91,Renault Captur,Renault,PLATINE DUAL TONE ,2017,Manual,26909,1,Diesel,821799,18280,Zero downpayment,Hyderabad,Telangana
92,Maruti New  Wagon-R,Maruti,1.0 VXI (O) ,2019,Manual,19377,1,Petrol,536999,11945,Zero downpayment,Hyderabad,Telangana
93,Hyundai Creta,Hyundai,1.6 SX PLUS AUTO PETROL ,2017,Automatic,44234,2,Petrol,1069099,23782,Zero downpayment,Hyderabad,Telangana
94,Tata Tiago,Tata,XZA 1.2 REVOTRON ,2018,Automatic,35836,2,Petrol,551999,12279,Zero downpayment,Hyderabad,Telangana
95,Toyota Fortuner,Toyota,3.0 AT 4X2 ,2012,Automatic,158977,2,Diesel,1487099,33080,Zero downpayment,Hyderabad,Telangana
96,Tata Safari Storme,Tata,2.2 VX 4X2 ,2017,Manual,44522,1,Diesel,945199,21025,Zero downpayment,Hyderabad,Telangana
97,Honda Amaze,Honda,1.2 SMT I VTEC ,2019,Manual,42915,1,Petrol,651599,14494,Zero downpayment,Hyderabad,Telangana
98,Ford New Figo,Ford,1.5 TITANIUM AT PETROL ,2016,Automatic,21202,2,Petrol,580699,12917,Zero downpayment,Hyderabad,Telangana
99,Maruti Ciaz,Maruti,ZXI ,2014,Manual,120506,1,Petrol,583899,12989,Zero downpayment,Hyderabad,Telangana
100,Honda City,Honda,V MT DIESEL ,2015,Manual,80573,1,Diesel,615199,13685,Zero downpayment,Hyderabad,Telangana
101,Toyota Innova Crysta,Toyota,2.8 ZX AT 7 STR ,2017,Automatic,72222,2,Diesel,1926499,42854,Zero downpayment,Hyderabad,Telangana
102,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2018,Manual,13989,1,Petrol,832499,18518,Zero downpayment,Hyderabad,Telangana
103,Honda City,Honda,VX MT PETROL ,2017,Manual,34013,1,Petrol,933399,20763,Zero downpayment,Hyderabad,Telangana
104,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,36772,1,Petrol,654199,14552,Zero downpayment,Hyderabad,Telangana
105,Maruti XL6,Maruti,LPHA SHVS  MT ,2019,Manual,23652,1,Petrol,983099,21868,Zero downpayment,Hyderabad,Telangana
106,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2018,Manual,67591,1,Petrol,594499,13224,Zero downpayment,Hyderabad,Telangana
107,Maruti Ciaz,Maruti,DELTA 1.5 SHVS VVT MT ,2020,Manual,8747,1,Petrol,939199,20892,Zero downpayment,Hyderabad,Telangana
108,Honda City,Honda,VX MT PETROL ,2018,Manual,48992,1,Petrol,996799,22173,Zero downpayment,Hyderabad,Telangana
109,Hyundai NEW I20,Hyundai,STA (O) 1.5 CRDI MT ,2021,Manual,15187,1,Diesel,1149199,25563,Zero downpayment,Hyderabad,Telangana
110,Hyundai Elite i20,Hyundai,STA 1.2 AT ,2018,Automatic,14978,1,Petrol,774199,17222,Zero downpayment,Hyderabad,Telangana
111,Hyundai i20 Active,Hyundai,1.2 S ,2017,Manual,109519,1,Petrol,633799,14099,Zero downpayment,Hyderabad,Telangana
112,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,129986,2,Diesel,460599,10246,Zero downpayment,Hyderabad,Telangana
113,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2018,Manual,16676,1,Petrol,730099,16241,Zero downpayment,Hyderabad,Telangana
114,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,Manual,34457,1,Petrol,421899,9385,Zero downpayment,Hyderabad,Telangana
115,Maruti Swift,Maruti,VXI ,2014,Manual,102252,1,Petrol,439999,9788,Zero downpayment,Hyderabad,Telangana
116,Hyundai Santro Xing,Hyundai,GLS ,2010,Manual,74312,1,Petrol,236899,5270,Zero downpayment,Hyderabad,Telangana
117,Renault Kwid,Renault,RXT 1.0 EASY-R  AT ,2018,Automatic,32161,1,Petrol,436299,9705,Zero downpayment,Hyderabad,Telangana
118,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2019,Manual,40117,1,Diesel,1014999,22578,Zero downpayment,Hyderabad,Telangana
119,Honda Brio,Honda,1.2 E MT I VTEC ,2016,Manual,74437,1,Petrol,386799,8604,Zero downpayment,Hyderabad,Telangana
120,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2018,Manual,38735,2,Petrol,748299,16645,Zero downpayment,Hyderabad,Telangana
121,Maruti Celerio,Maruti,ZXI OPT AMT ,2017,Automatic,50940,1,Petrol,501299,11151,Zero downpayment,Hyderabad,Telangana
122,Maruti Wagon R 1.0,Maruti,VXI ,2016,Manual,78656,1,Petrol,410099,9122,Zero downpayment,Hyderabad,Telangana
123,Maruti Alto,Maruti,LXI ,2019,Manual,17804,1,Petrol,356299,7926,Zero downpayment,Hyderabad,Telangana
124,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,11293,2,Petrol,539799,12008,Zero downpayment,Hyderabad,Telangana
125,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,41503,1,Petrol,407899,9073,Zero downpayment,Hyderabad,Telangana
126,Maruti Alto 800,Maruti,VXI (O) ,2018,Manual,62766,1,Petrol,332499,7396,Zero downpayment,Hyderabad,Telangana
127,Maruti Alto K10,Maruti,VXI ,2017,Manual,68809,2,Petrol,353799,7870,Zero downpayment,Hyderabad,Telangana
128,Maruti Alto K10,Maruti,VXI ,2017,Manual,78193,1,Petrol,385999,8586,Zero downpayment,Hyderabad,Telangana
129,Maruti Eeco,Maruti,7 STR ,2019,Manual,16480,1,Petrol,420699,9358,Zero downpayment,Hyderabad,Telangana
130,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,18789,1,Petrol,477199,10615,Zero downpayment,Hyderabad,Telangana
131,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,9338,2,Petrol,463499,10310,Zero downpayment,Hyderabad,Telangana
132,Hyundai i10,Hyundai,ERA 1.1 IRDE ,2012,Manual,45064,3,Petrol,334099,7432,Zero downpayment,Hyderabad,Telangana
133,Maruti Alto K10,Maruti,VXI (O) AMT ,2019,Automatic,30016,1,Petrol,448599,9979,Zero downpayment,Hyderabad,Telangana
134,Maruti Baleno,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,45211,1,Petrol,663599,14761,Zero downpayment,Hyderabad,Telangana
135,MG HECTOR,MG,SHARP DCT PETROL ,2019,Manual,40741,1,Petrol,1659699,36919,Zero downpayment,Hyderabad,Telangana
136,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,121755,1,Diesel,460599,10246,Zero downpayment,Hyderabad,Telangana
137,Maruti Alto,Maruti,LXI ,2020,Manual,24682,1,Petrol,99099,878,Zero downpayment,Ahmedabad,Gujarat
138,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,30525,1,Petrol,79199,660,Zero downpayment,Ahmedabad,Gujarat
139,Hyundai Elite i20,Hyundai,STA 1.2 ,2014,Manual,50257,1,Petrol,78599,871,Zero downpayment,Ahmedabad,Gujarat
140,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2018,Manual,14586,1,Petrol,88799,873,Zero downpayment,Ahmedabad,Gujarat
141,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2017,Manual,33310,1,Petrol,84099,544,Zero downpayment,Ahmedabad,Gujarat
142,Datsun Redi Go,Datsun,1.0 T(O) ,2018,Manual,19423,2,Petrol,65099,897,Zero downpayment,Ahmedabad,Gujarat
143,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2017,Manual,14970,1,Petrol,36799,716,Zero downpayment,Ahmedabad,Gujarat
144,Maruti Dzire,Maruti,VDI ,2017,Manual,64299,1,Diesel,75699,806,Zero downpayment,Ahmedabad,Gujarat
145,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA ,2021,Manual,5656,1,Petrol,21199,267,Zero downpayment,Ahmedabad,Gujarat
146,Hyundai Elite i20,Hyundai,SPORTZ 1.4 ,2016,Manual,74251,2,Diesel,36299,930,Zero downpayment,Ahmedabad,Gujarat
147,Tata Harrier,Tata,XZ 2.0L Kryotec ,2019,Manual,34644,1,Diesel,49099,234,Zero downpayment,Ahmedabad,Gujarat
148,Maruti Baleno,Maruti,DELTA DDIS 190 ,2017,Manual,83204,1,Diesel,32299,841,Zero downpayment,Ahmedabad,Gujarat
149,Maruti Dzire,Maruti,VDI ,2017,Manual,50279,1,Diesel,28099,972,Zero downpayment,Ahmedabad,Gujarat
150,Maruti S Cross,Maruti,ZETA 1.3 ,2016,Manual,82056,2,Diesel,95399,244,Zero downpayment,Ahmedabad,Gujarat
151,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2015,Manual,76209,1,Petrol,42699,72,Zero downpayment,Ahmedabad,Gujarat
152,Hyundai Elite i20,Hyundai,STA 1.2 DUAL TONE ,2017,Manual,28959,2,Petrol,53099,528,Zero downpayment,Ahmedabad,Gujarat
153,Hyundai Creta,Hyundai,1.6 EX CRDI ,2020,Manual,26284,1,Diesel,30499,372,Zero downpayment,Ahmedabad,Gujarat
154,Audi A3,Audi,35TDI PREMIUM ,2018,Automatic,39254,2,Diesel,68199,781,Zero downpayment,Ahmedabad,Gujarat
155,Maruti Dzire,Maruti,ZDI Plus ,2017,Manual,41159,1,Diesel,4499,671,Zero downpayment,Ahmedabad,Gujarat
156,Hyundai Creta,Hyundai,SX MT ,2021,Manual,3203,1,Diesel,95599,167,Zero downpayment,Ahmedabad,Gujarat
157,Jeep Compass,Jeep,2.0 LIMITED 4*2 ,2017,Manual,148933,1,Diesel,95499,369,Zero downpayment,Ahmedabad,Gujarat
158,Hyundai Verna,Hyundai,1.6 SX VTVT ,2019,Manual,33957,2,Petrol,15699,369,Zero downpayment,Ahmedabad,Gujarat
159,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,108852,1,Diesel,14199,663,Zero downpayment,Ahmedabad,Gujarat
160,Maruti Ciaz,Maruti,LPHA 1.4 VVT AMT ,2018,Automatic,13881,1,Petrol,89899,795,Zero downpayment,Ahmedabad,Gujarat
161,Hyundai Verna,Hyundai,1.6 SX (O) CRDI MT ,2017,Manual,26831,2,Diesel,35399,807,Zero downpayment,Ahmedabad,Gujarat
162,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2017,Manual,45441,1,Petrol,81699,164,Zero downpayment,Ahmedabad,Gujarat
163,Jeep Compass,Jeep,2.0 LIMITED ,2018,Manual,73980,1,Diesel,23499,441,Zero downpayment,Ahmedabad,Gujarat
164,Jeep Compass,Jeep,2.0 LIMITED ,2018,Manual,36813,1,Diesel,63999,341,Zero downpayment,Ahmedabad,Gujarat
165,KIA SELTOS,KIA,HTK 1.5 PETROL ,2019,Manual,19485,1,Petrol,7499,636,Zero downpayment,Ahmedabad,Gujarat
166,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,56311,1,Petrol,88499,91,Zero downpayment,Ahmedabad,Gujarat
167,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2016,Manual,149993,1,Diesel,36599,385,Zero downpayment,Ahmedabad,Gujarat
168,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2016,Manual,49358,1,Diesel,38199,421,Zero downpayment,Ahmedabad,Gujarat
169,Maruti S Cross,Maruti,ZETA 1.3 ,2017,Manual,83904,1,Diesel,68199,864,Zero downpayment,Ahmedabad,Gujarat
170,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2016,Manual,44913,1,Diesel,82799,413,Zero downpayment,Ahmedabad,Gujarat
171,Jeep Compass,Jeep,2.0 LIMITED ,2017,Manual,99803,2,Diesel,37199,72,Zero downpayment,Ahmedabad,Gujarat
172,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2018,Automatic,15950,1,Petrol,40399,694,Zero downpayment,Ahmedabad,Gujarat
173,Honda Amaze,Honda,1.2 SMT I VTEC ,2018,Manual,33276,2,Petrol,4299,442,Zero downpayment,Ahmedabad,Gujarat
174,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,41631,2,Petrol,43999,101,Zero downpayment,Ahmedabad,Gujarat
175,Hyundai Eon,Hyundai,ERA PLUS ,2016,Manual,79123,2,Petrol,88999,429,Zero downpayment,Ahmedabad,Gujarat
176,Hyundai Verna,Hyundai,1.6 SX VTVT AT (O) ,2018,Automatic,16721,2,Petrol,40399,143,Zero downpayment,Ahmedabad,Gujarat
177,Maruti New  Wagon-R,Maruti,ZXI 1.2 ,2019,Manual,26254,1,Petrol,42599,70,Zero downpayment,Ahmedabad,Gujarat
178,Maruti Vitara Brezza,Maruti,VDI ,2017,Manual,79483,2,Diesel,15699,696,Zero downpayment,Ahmedabad,Gujarat
179,Honda WR-V,Honda,1.5 i-DTEC S MT ,2017,Manual,43136,2,Diesel,29599,5,Zero downpayment,Ahmedabad,Gujarat
180,Maruti S Cross,Maruti,ZETA 1.3 ,2017,Manual,112490,1,Diesel,38999,214,Zero downpayment,Ahmedabad,Gujarat
181,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,16624,1,Petrol,27299,954,Zero downpayment,Ahmedabad,Gujarat
182,Toyota Fortuner,Toyota,3.0 MT 4X4 ,2012,Manual,184782,3,Diesel,82299,75,Zero downpayment,Ahmedabad,Gujarat
183,Maruti Swift,Maruti,VXI ,2016,Manual,44689,1,Petrol,70099,457,Zero downpayment,Ahmedabad,Gujarat
184,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2019,Manual,26463,1,Diesel,74399,451,Zero downpayment,Ahmedabad,Gujarat
185,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2018,Manual,11371,1,Petrol,12799,856,Zero downpayment,Ahmedabad,Gujarat
186,Maruti S Cross,Maruti,ZETA 1.3 SHVS ,2018,Manual,19899,1,Diesel,27799,638,Zero downpayment,Ahmedabad,Gujarat
187,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,61989,2,Petrol,47299,174,Zero downpayment,Ahmedabad,Gujarat
188,Maruti Dzire,Maruti,VXI ,2019,Manual,8558,1,Petrol,11499,827,Zero downpayment,Ahmedabad,Gujarat
189,Maruti Vitara Brezza,Maruti,VDI OPT ,2017,Manual,94193,1,Diesel,66099,817,Zero downpayment,Ahmedabad,Gujarat
190,Maruti Dzire,Maruti,VXI ,2019,Manual,6078,1,Petrol,11499,827,Zero downpayment,Ahmedabad,Gujarat
191,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,4560,1,Petrol,50699,474,Zero downpayment,Ahmedabad,Gujarat
192,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2017,Manual,81990,1,Petrol,3399,647,Zero downpayment,Ahmedabad,Gujarat
